ACCESSION	GROUP.ROW	LATTITUDE	LONGTITUDE	COLOUR
WB-312	Landrace 2-row	57.5	18.55	"greenyellow"
WB-325	Landrace 2-row	31.467	26.633	"greenyellow"
WB-327	Landrace 2-row	32.317	35.933	"greenyellow"
WB-329	Landrace 2-row	32.167	35.583	"greenyellow"
WB-330	Landrace 2-row	32.48	35.67	"greenyellow"
WB-332	Landrace 2-row	32.233	36.083	"greenyellow"
WB-333	Landrace 2-row	32.06	36.41	"greenyellow"
WB-335	Landrace 2-row	24.5	56.55	"greenyellow"
WB-336	Landrace 2-row	23.11	57.29	"greenyellow"
WB-344	Landrace 2-row	36.42	40.79	"greenyellow"
WB-345	Landrace 2-row	35.4	37.256	"greenyellow"
WB-346	Landrace 2-row	36.15	36.817	"greenyellow"
WB-347	Landrace 2-row	33.117	36.342	"greenyellow"
WB-348	Landrace 2-row	32.533	36.54	"greenyellow"
WB-353	Landrace 2-row	33.833	36.511	"greenyellow"
WB-356	Landrace 2-row	34.583	38.356	"greenyellow"
WB-362	Landrace 2-row	15.348	44.206	"greenyellow"
WB-368	Landrace 2-row	35	71.11	"greenyellow"
WB-369	Landrace 2-row	40.23	32.71	"greenyellow"
WB-371	Landrace 2-row	32.787	13.191	"greenyellow"
WB-372	Landrace 2-row	8.633	38.05	"greenyellow"
WB-373	Landrace 2-row	9.067	38.483	"greenyellow"
WB-374	Landrace 2-row	42.916	43.011	"greenyellow"
WB-375	Landrace 2-row	37.667	22.183	"greenyellow"
WB-376	Landrace 2-row	34.583	48.817	"greenyellow"
WB-377	Landrace 2-row	36.443	43.257	"greenyellow"
WB-379	Landrace 2-row	45.83	10.46	"greenyellow"
WB-380	Landrace 2-row	32.691	21.908	"greenyellow"
WB-382	Landrace 2-row	49.335	22.41	"greenyellow"
WB-383	Landrace 2-row	49.393	20.187	"greenyellow"
WB-384	Landrace 2-row	46.781	23.083	"greenyellow"
WB-387	Landrace 2-row	48.97	22.43	"greenyellow"
WB-388	Landrace 2-row	40.367	29.167	"greenyellow"
WB-389	Landrace 2-row	36.45	37.517	"greenyellow"
WB-390	Landrace 2-row	36.45	37.517	"greenyellow"
WB-391	Landrace 2-row	39.89	28.79	"greenyellow"
WB-392	Landrace 2-row	39.417	29.983	"greenyellow"
WB-393	Landrace 2-row	44.05	17.46	"greenyellow"
WB-423	Landrace 2-row	31.97	21.58	"greenyellow"
WB-433	Landrace 2-row	38.75	29.417	"greenyellow"
WB-464	Landrace 2-row	28	3	"greenyellow"
WB-465	Landrace 2-row	9.217	41.1	"greenyellow"
WB-466	Landrace 2-row	5.783	36.567	"greenyellow"
WB-467	Landrace 2-row	9.667	39.533	"greenyellow"
WB-468	Landrace 2-row	33.316	44.392	"greenyellow"
WB-469	Landrace 2-row	37.633	47.8	"greenyellow"
WB-470	Landrace 2-row	49.533	21.967	"greenyellow"
WB-471	Landrace 2-row	42.14	47.12	"greenyellow"
WB-54	Landrace 2-row	9	40.333	"greenyellow"
WB-69	Landrace 2-row	34.25	-6.48	"greenyellow"
WB-77	Landrace 2-row	9.017	38.733	"greenyellow"
WB-78	Landrace 2-row	9.017	38.733	"greenyellow"
WB-81	Landrace 2-row	9	40.333	"greenyellow"
WB-85	Landrace 2-row	30.23	31.23	"greenyellow"
WB-86	Landrace 2-row	9.03	38.74	"greenyellow"
WB-87	Landrace 2-row	9.03	38.74	"greenyellow"
WB-89	Landrace 2-row	32.48	21.126	"greenyellow"
WB-90	Landrace 2-row	32.48	21.126	"greenyellow"
WB-92	Landrace 2-row	35.9	39.02	"greenyellow"
WB-93	Landrace 2-row	9	40.333	"greenyellow"
WB-99	Landrace 2-row	9.017	38.733	"greenyellow"
BCC103	Landrace 6-row	32.117	36.267	"forestgreen"
BCC108	Landrace 6-row	34.333	35.733	"forestgreen"
BCC110	Landrace 6-row	34.433	36.05	"forestgreen"
BCC126	Landrace 6-row	31.37	-5.79	"forestgreen"
BCC131	Landrace 6-row	32.05	-3.05	"forestgreen"
BCC1488	Landrace 6-row	51	142.64	"forestgreen"
BCC1494	Landrace 6-row	50.298	57.181	"forestgreen"
BCC1503	Landrace 6-row	37.942	58.384	"forestgreen"
BCC167	Landrace 6-row	22.667	57.333	"forestgreen"
BCC168	Landrace 6-row	23.167	57.667	"forestgreen"
BCC169	Landrace 6-row	22.72	57.25	"forestgreen"
BCC182	Landrace 6-row	36.3	73.367	"forestgreen"
BCC185	Landrace 6-row	24.633	46.717	"forestgreen"
BCC21	Landrace 6-row	28.312	30.71	"forestgreen"
BCC51	Landrace 6-row	30.567	34.483	"forestgreen"
BCC54	Landrace 6-row	30.817	32.517	"forestgreen"
BCC761	Landrace 6-row	28.356	83.736	"forestgreen"
FT359	Landrace 6-row	34.02	-6.83	"forestgreen"
FT388	Landrace 6-row	29.65	91.1	"forestgreen"
FT519	Landrace 6-row	31	112	"forestgreen"
FT521	Landrace 6-row	42.733	2.683	"forestgreen"
FT523	Landrace 6-row	41.6	60.15	"forestgreen"
FT524	Landrace 6-row	39.5	126.4	"forestgreen"
FT539	Landrace 6-row	37.572	44.283	"forestgreen"
FT554	Landrace 6-row	37.333	68.667	"forestgreen"
FT555	Landrace 6-row	39.183	41.167	"forestgreen"
FT561	Landrace 6-row	29.25	80.917	"forestgreen"
HOR10103	Landrace 6-row	25.916	13.918	"forestgreen"
HOR10130	Landrace 6-row	30.133	9.5	"forestgreen"
HOR10152	Landrace 6-row	26.226	14.883	"forestgreen"
HOR10350	Landrace 6-row	8.15	36.47	"forestgreen"
HOR10360	Landrace 6-row	43.05	42.717	"forestgreen"
HOR10551	Landrace 6-row	37.579	13.752	"forestgreen"
HOR10609	Landrace 6-row	36.166	43.257	"forestgreen"
HOR10627	Landrace 6-row	34.833	42	"forestgreen"
HOR10705	Landrace 6-row	42.177	44.729	"forestgreen"
HOR1133	Landrace 6-row	46.217	2.214	"forestgreen"
HOR11403	Landrace 6-row	31.1	77.167	"forestgreen"
HOR1192	Landrace 6-row	38.293	29.006	"forestgreen"
HOR12830	Landrace 6-row	36.701	38.087	"forestgreen"
HOR13416	Landrace 6-row	31.05	-8.833	"forestgreen"
HOR14153	Landrace 6-row	12.043	18.792	"forestgreen"
HOR14279	Landrace 6-row	14.698	39.429	"forestgreen"
HOR1463	Landrace 6-row	35.91	71.31	"forestgreen"
HOR1804	Landrace 6-row	35	71.15	"forestgreen"
HOR1842	Landrace 6-row	36.27	72.38	"forestgreen"
HOR2458	Landrace 6-row	29.65	91.1	"forestgreen"
HOR2462	Landrace 6-row	29.43	94.45	"forestgreen"
HOR2465	Landrace 6-row	29.65	91.1	"forestgreen"
HOR2766	Landrace 6-row	24.05	23.31	"forestgreen"
HOR2800	Landrace 6-row	31.533	48.817	"forestgreen"
HOR383	Landrace 6-row	43.854	25.959	"forestgreen"
HOR3938	Landrace 6-row	28.21	-16.78	"forestgreen"
HOR396	Landrace 6-row	42.314	27.767	"forestgreen"
HOR454	Landrace 6-row	40.41	27.917	"forestgreen"
HOR6360	Landrace 6-row	7.467	36.883	"forestgreen"
HOR713	Landrace 6-row	37.667	22.183	"forestgreen"
HOR7380	Landrace 6-row	49.52	18.832	"forestgreen"
HOR742	Landrace 6-row	43.867	18.417	"forestgreen"
HOR7436	Landrace 6-row	49.357	18.893	"forestgreen"
HOR756	Landrace 6-row	40.788	20.189	"forestgreen"
HOR758	Landrace 6-row	42.004	21.452	"forestgreen"
HOR8455	Landrace 6-row	30.5	47.817	"forestgreen"
HOR8826	Landrace 6-row	49.421	20.959	"forestgreen"
HOR8842	Landrace 6-row	37.573	-6.753	"forestgreen"
HOR9827	Landrace 6-row	32.687	13.983	"forestgreen"
SBCC002	Landrace 6-row	42.85	-2.67	"forestgreen"
SBCC003	Landrace 6-row	40.63	-3.15	"forestgreen"
SBCC014	Landrace 6-row	37.53	-5.07	"forestgreen"
SBCC095	Landrace 6-row	40.98	-6.85	"forestgreen"
SBCC144	Landrace 6-row	28.8	-17.81	"forestgreen"
WB-112	Landrace 6-row	26.47	14.36	"forestgreen"
WB-113	Landrace 6-row	31.37	-5.79	"forestgreen"
WB-114	Landrace 6-row	33.633	-6.283	"forestgreen"
WB-115	Landrace 6-row	34.433	-4.65	"forestgreen"
