ACCESSION	CLADE	GROUP.NUM	GROUP.ROW	CATEGORY	ROWTYPE	SOURCE	COUNTRY	LATTITUDE	LONGTITUDE	"PCoA, Axis 1"	"PCoA, Axis 2"	"PCoA, Axis 3"	CLADE.OLD	VARIETY	OTHER.ACC	HABIT
FT555	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Turkey	39.183	41.167	-0.0094569	0.0052208	0.0021455	1			
FT56	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	32.781	35.660	0.016809	0.0080647	-0.00043855	10			
FT561	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Nepal	29.250	80.917	0.0013985	-0.016554	-0.012032	5			
FT566	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkmenistan	38.417	56.683	0.015277	-0.0083837	-0.0054545	8			
FT567	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkmenistan	41.050	61.883	0.016107	-0.0070509	-0.0070101	8			
FT568	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Afghanistan	34.500	63.183	0.015692	-0.0072914	-0.0060704	8			
FT572	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Jordan	30.667	35.633	0.00987	-0.0017142	-0.0079523	11			
FT578	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	40.650	43.100	0.018474	0.00044623	0.0095408	11			
FT581	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.967	41.717	0.021116	0.00048416	0.01094	10			
FT582	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	37.093	42.099	0.022582	-0.0049377	0.015844	10			
FT584	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	36.967	40.498	0.021461	-0.0068851	0.015145	3			
FT589	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	35.029	37.007	0.01494	0.0033195	0.0019909	3			
FT590	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	35.013	36.703	0.014076	0.0026467	0.0036894	10			
FT592	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	37.074	41.086	0.019469	-0.0077913	0.015303	3			
FT595	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iraq	36.333	42.167	0.019588	-0.0076159	0.016977	3			
FT604	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iraq	36.083	43.167	0.020228	-0.0092724	0.019731	3			
FT611	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	35.500	51.250	0.017695	-0.0060881	0.015604	3			
FT613	7	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	32.550	49.830	0.01417	-0.0048256	-0.0011384	6			
FT616	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	32.189	48.258	0.012623	-0.01022	0.0068382	11			
FT626	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Jordan	32.100	35.717	0.016201	0.0062597	-0.0091794	8			
FT627	7	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Jordan	32.017	35.900	0.012031	0.0039673	-0.0068992	6			
FT628	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	32.596	36.379	0.015715	0.0050499	-0.00057948	10			
FT630	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Lebanon	33.467	35.867	0.015554	0.0017566	-0.0030763	10			
FT631	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Lebanon	33.933	36.100	0.015272	0.0053343	-0.0038202	10			
FT632	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	37.078	42.071	0.020375	-0.0069716	0.014533	3			
FT64	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.347	35.123	0.0124	0.0059495	-0.0056718	8			
FT643	7	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.673	35.437	0.01223	0.000355	-0.011521	6			
